Name,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,JobInvolvement,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsSinceLastPromotion,ManagerID,TerminationDate
Jacob Collins,36,Yes,Travel_Rarely,Sales,9,4,Life Sciences,27,3,Male,2,Sales Representative,1,Single,3407,7,No,4,2,0,4,3,5,0,625,2021-08-03
Amanda Garcia,34,No,Travel_Rarely,Research & Development,7,4,Life Sciences,28,1,Female,3,Research Director,2,Single,11994,0,No,3,3,0,4,3,12,2,1191,
Mark Guzman,21,No,Travel_Rarely,Research & Development,15,2,Life Sciences,30,3,Male,3,Research Scientist,4,Single,1232,1,No,3,4,0,6,3,0,0,1307,
Thomas Archer,34,Yes,Travel_Rarely,Research & Development,6,1,Medical,31,2,Male,3,Research Scientist,1,Single,2960,2,No,3,3,0,2,3,4,1,84,2023-10-05
Sherri Mcconnell,53,No,Travel_Rarely,Research & Development,5,3,Other,32,3,Female,3,Manager,3,Divorced,19094,4,No,3,4,1,3,2,14,4,1256,
Brittany Valencia,32,Yes,Travel_Frequently,Research & Development,16,1,Life Sciences,33,2,Female,1,Research Scientist,1,Single,3919,1,Yes,4,2,0,5,3,10,6,381,2023-05-20
Henry Anderson,42,No,Travel_Rarely,Sales,8,4,Marketing,35,3,Male,3,Sales Executive,2,Married,6825,0,No,3,4,1,2,3,9,4,1740,
Megan Rivera,44,No,Travel_Rarely,Research & Development,7,4,Medical,36,1,Female,2,Healthcare Representative,4,Married,10248,3,No,3,4,1,4,3,22,5,820,
Danielle Young,46,No,Travel_Rarely,Sales,2,4,Marketing,38,2,Female,3,Manager,1,Single,18947,3,No,3,4,0,2,2,2,2,625,
Kyle Dunn,33,No,Travel_Rarely,Research & Development,2,3,Medical,39,3,Male,3,Laboratory Technician,4,Single,2496,4,No,3,4,0,3,3,1,0,976,
Robert Scott,44,No,Travel_Rarely,Research & Development,10,4,Other,40,4,Male,3,Healthcare Representative,4,Married,6465,2,Yes,3,4,0,5,4,4,1,1306,
Justin Molina,30,No,Travel_Rarely,Research & Development,9,2,Medical,41,4,Male,2,Laboratory Technician,3,Single,2206,1,No,3,1,0,5,3,10,1,531,
Jose Hill,39,Yes,Travel_Rarely,Sales,5,3,Technical Degree,42,4,Male,3,Sales Representative,4,Married,2086,3,No,3,3,1,6,4,1,0,23,2021-09-23
Christopher Thomas,24,Yes,Travel_Rarely,Research & Development,1,3,Medical,45,2,Male,3,Research Scientist,4,Married,2293,2,Yes,3,1,1,2,2,2,2,1786,2023-10-17
Megan Hickman,43,No,Travel_Rarely,Research & Development,2,2,Medical,46,4,Female,4,Research Scientist,3,Divorced,2645,1,No,3,4,2,3,2,5,1,1900,
Anthony Hays,50,Yes,Travel_Rarely,Sales,3,2,Marketing,47,1,Male,2,Sales Representative,3,Married,2683,1,Yes,3,3,0,2,3,3,0,558,2023-09-20
Jennifer Brewer,35,No,Travel_Rarely,Sales,2,3,Marketing,49,4,Female,3,Sales Representative,4,Married,2014,1,No,3,1,0,3,3,2,2,1280,
Paige Barajas,36,No,Travel_Rarely,Research & Development,5,4,Life Sciences,51,2,Female,2,Research Scientist,1,Married,3419,9,Yes,3,4,1,3,4,1,0,582,
Brenda Mitchell,33,No,Travel_Frequently,Sales,1,3,Life Sciences,52,3,Female,4,Sales Executive,1,Married,5376,2,No,3,1,2,3,3,5,1,981,
Martin Taylor,35,No,Travel_Rarely,Research & Development,4,2,Other,53,3,Male,3,Laboratory Technician,4,Divorced,1951,1,No,3,3,1,3,3,1,0,336,
Laura Martinez,27,No,Travel_Rarely,Research & Development,2,4,Life Sciences,54,4,Female,3,Laboratory Technician,1,Divorced,2341,1,No,3,4,1,6,3,1,0,428,
Michael Wright,26,Yes,Travel_Rarely,Research & Development,25,3,Life Sciences,55,1,Male,1,Laboratory Technician,3,Single,2293,1,No,3,3,0,2,2,1,0,1786,2021-12-04
Tristan Baker,27,No,Travel_Frequently,Sales,8,3,Life Sciences,56,4,Male,3,Sales Executive,3,Single,8726,1,No,3,4,0,0,3,9,1,1045,
Jessica Mckenzie,30,No,Travel_Frequently,Research & Development,1,2,Medical,57,3,Female,3,Laboratory Technician,4,Single,4011,1,No,4,4,0,2,3,12,3,259,
Tracy Morrison,41,Yes,Travel_Rarely,Research & Development,12,3,Technical Degree,58,2,Female,3,Research Director,3,Married,19545,1,No,3,4,0,0,3,22,15,253,2021-07-15
Henry Carr,34,No,Non-Travel,Sales,23,4,Marketing,60,2,Male,3,Sales Executive,3,Single,4568,0,No,4,3,0,2,3,9,8,1204,
Tyler Velazquez,37,No,Travel_Rarely,Research & Development,19,2,Life Sciences,61,2,Male,3,Research Scientist,2,Married,3022,4,No,4,1,0,1,3,1,0,259,
James Macdonald,46,No,Travel_Frequently,Sales,5,4,Marketing,62,1,Male,3,Sales Executive,4,Single,5772,4,Yes,4,3,0,4,3,9,0,1048,
Martin Perkins,35,No,Travel_Rarely,Research & Development,8,1,Life Sciences,63,4,Male,4,Laboratory Technician,4,Married,2269,1,No,3,4,0,2,3,1,0,664,
Matthew Chase,48,Yes,Travel_Rarely,Research & Development,1,2,Life Sciences,64,1,Male,2,Laboratory Technician,3,Single,5381,9,Yes,3,4,0,2,3,1,0,1307,2024-06-27
Charles Smith,28,Yes,Travel_Rarely,Research & Development,5,4,Technical Degree,65,3,Male,3,Laboratory Technician,3,Single,3441,1,Yes,3,3,0,3,2,2,2,505,2021-07-24
Rebecca Schneider,44,No,Travel_Rarely,Sales,1,5,Marketing,68,2,Female,3,Sales Executive,1,Divorced,5454,5,Yes,4,3,1,2,2,4,1,158,
Richard Calderon,35,No,Non-Travel,Research & Development,11,2,Medical,70,3,Male,2,Healthcare Representative,1,Married,9884,2,Yes,3,3,1,3,3,4,2,1665,
Sarah Diaz,26,No,Travel_Rarely,Sales,23,3,Marketing,72,3,Female,2,Sales Executive,4,Married,4157,7,Yes,3,3,1,2,2,2,0,1527,
Stacey Morrow,33,No,Travel_Frequently,Research & Development,1,2,Life Sciences,73,1,Female,3,Research Director,4,Single,13458,1,Yes,3,3,0,1,3,15,8,1215,
Jacob Johnson,35,No,Travel_Frequently,Sales,18,5,Life Sciences,74,2,Male,3,Sales Executive,1,Married,9069,1,No,4,4,1,3,2,9,1,363,
Jessica Thompson,35,No,Travel_Rarely,Research & Development,23,4,Medical,75,3,Female,3,Laboratory Technician,1,Married,4014,3,Yes,3,3,1,3,3,2,2,787,
Michael Perry,31,No,Travel_Rarely,Research & Development,7,4,Life Sciences,76,4,Male,3,Laboratory Technician,4,Divorced,5915,3,No,4,4,1,3,2,7,1,253,
Philip Mosley,37,No,Travel_Rarely,Research & Development,1,4,Life Sciences,77,1,Male,2,Manufacturing Director,3,Divorced,5993,1,No,3,3,1,2,4,7,0,1256,
Phillip Smith,32,No,Travel_Rarely,Research & Development,1,3,Medical,78,1,Male,3,Manufacturing Director,4,Married,6162,1,Yes,4,2,1,3,3,9,7,546,
Carly Mitchell,38,No,Travel_Frequently,Research & Development,29,5,Life Sciences,79,4,Female,3,Laboratory Technician,4,Single,2406,1,No,3,4,0,2,3,10,9,2031,
Lisa Fletcher,50,No,Travel_Rarely,Research & Development,7,2,Medical,80,2,Female,2,Research Director,3,Divorced,18740,5,Yes,3,4,1,2,2,27,13,1334,
Samantha Oneal,59,No,Travel_Rarely,Sales,25,3,Life Sciences,81,1,Female,3,Sales Executive,1,Single,7637,7,No,3,4,0,3,2,21,7,1124,
Michelle Pratt,36,No,Travel_Rarely,Research & Development,8,3,Technical Degree,83,3,Female,3,Healthcare Representative,3,Divorced,10096,1,No,3,2,3,2,3,17,12,1288,
Samantha Abbott,55,No,Travel_Rarely,Research & Development,8,3,Medical,84,4,Female,3,Manager,3,Divorced,14756,2,Yes,3,3,3,2,3,5,0,381,
Brian Clark,36,No,Travel_Frequently,Research & Development,11,3,Life Sciences,85,2,Male,2,Manufacturing Director,2,Single,6499,1,No,3,3,0,3,3,6,0,1644,
Donald Wise,45,No,Travel_Rarely,Research & Development,7,3,Life Sciences,86,2,Male,3,Research Scientist,1,Divorced,9724,2,No,3,3,1,2,3,1,0,226,
Jeremy Mcmillan,35,No,Travel_Frequently,Research & Development,1,3,Medical,88,2,Male,3,Research Scientist,1,Married,2194,4,No,3,4,1,2,2,3,1,153,
Riley Mccoy,36,Yes,Travel_Rarely,Research & Development,9,3,Medical,90,4,Male,2,Research Scientist,3,Married,3388,0,Yes,3,1,1,0,2,1,0,1516,2023-07-11
Amber Jones,59,No,Travel_Frequently,Sales,1,1,Life Sciences,91,1,Female,2,Sales Executive,3,Single,5473,7,No,3,4,0,2,2,4,1,625,
Terry Walker,29,No,Travel_Rarely,Research & Development,2,3,Life Sciences,94,3,Male,3,Research Scientist,2,Married,2703,0,No,4,4,1,3,3,5,0,1866,
Patrick Carroll,31,No,Travel_Rarely,Research & Development,1,4,Medical,95,3,Male,3,Research Scientist,2,Single,2501,1,No,3,2,0,4,3,1,1,546,
Mason Shelton,32,No,Travel_Rarely,Research & Development,1,3,Life Sciences,96,2,Male,3,Research Scientist,2,Married,6220,1,No,3,2,2,3,3,10,0,253,
Kimberly Spencer,36,No,Travel_Rarely,Research & Development,6,3,Life Sciences,97,2,Female,4,Laboratory Technician,4,Married,3038,3,No,3,2,0,3,3,1,0,429,
Maria Williams,31,No,Travel_Rarely,Research & Development,8,4,Life Sciences,98,3,Female,3,Manufacturing Director,4,Single,4424,1,No,4,4,0,2,3,11,1,259,
Charles Jenkins,35,No,Travel_Rarely,Sales,1,4,Marketing,100,3,Male,2,Sales Executive,1,Single,4312,0,No,3,2,0,2,3,15,2,1204,
Anthony Collins,45,No,Travel_Rarely,Research & Development,6,4,Other,101,4,Male,3,Research Director,1,Married,13245,4,Yes,3,2,0,3,4,0,0,531,
James Mendez,37,No,Travel_Rarely,Research & Development,7,4,Medical,102,1,Male,3,Research Director,3,Single,13664,4,No,3,1,0,3,4,5,0,1074,
Kevin Berry,46,No,Travel_Rarely,Human Resources,5,2,Medical,103,2,Male,3,Human Resources,2,Divorced,5021,8,Yes,4,4,1,2,3,4,0,1973,
John Phillips,30,No,Travel_Rarely,Research & Development,1,1,Life Sciences,104,4,Male,2,Laboratory Technician,4,Married,5126,1,Yes,3,3,2,1,2,10,3,2031,
Nathaniel Thompson,35,No,Travel_Rarely,Research & Development,1,3,Medical,105,2,Male,2,Research Scientist,3,Single,2859,1,No,3,1,0,3,3,6,0,671,
William Gonzales,55,No,Travel_Rarely,Sales,1,2,Life Sciences,106,1,Male,3,Sales Executive,4,Married,10239,3,No,3,4,1,4,3,1,1,558,
Jennifer Larson,38,No,Non-Travel,Research & Development,6,3,Medical,107,2,Female,1,Research Scientist,4,Divorced,5329,7,Yes,3,4,3,3,3,13,1,671,
Carl Sims,34,No,Travel_Rarely,Research & Development,1,2,Medical,110,1,Male,3,Manufacturing Director,2,Married,4325,1,No,3,3,0,2,3,5,1,664,
Gabriel Glass,56,No,Travel_Rarely,Research & Development,7,3,Life Sciences,112,4,Male,1,Manufacturing Director,4,Single,7260,4,No,3,1,0,3,2,6,0,428,
Gary Evans,23,No,Travel_Rarely,Sales,2,1,Technical Degree,113,3,Male,3,Sales Representative,1,Divorced,2322,3,No,3,3,1,3,3,0,0,981,
Alexander Watson,51,No,Travel_Rarely,Research & Development,9,4,Life Sciences,116,4,Male,3,Laboratory Technician,4,Married,2075,3,No,4,2,2,4,3,4,0,1595,
Bryan Green,30,No,Travel_Rarely,Research & Development,2,3,Life Sciences,117,3,Male,2,Healthcare Representative,4,Married,4152,1,No,3,1,3,3,3,11,10,1520,
Kevin Williams,46,Yes,Travel_Rarely,Sales,9,2,Medical,118,3,Male,2,Sales Executive,4,Single,9619,1,No,3,4,0,3,3,9,4,323,2021-06-05
Duane Trevino,40,No,Travel_Frequently,Research & Development,1,4,Life Sciences,119,3,Male,2,Healthcare Representative,2,Married,13503,1,No,4,4,1,3,2,22,11,1307,
Ian Harrison,51,No,Travel_Rarely,Sales,21,4,Marketing,120,3,Male,3,Sales Executive,4,Single,5441,0,Yes,4,4,0,2,1,10,1,558,
Stephanie Hester,30,No,Travel_Rarely,Sales,4,2,Medical,121,3,Female,2,Sales Executive,2,Divorced,5209,1,Yes,3,2,3,4,2,11,2,1740,
Nathaniel Castillo,46,No,Travel_Frequently,Research & Development,1,3,Medical,124,3,Male,2,Healthcare Representative,1,Married,10673,2,Yes,3,3,1,5,2,10,9,1665,
Thomas Harding,32,No,Travel_Rarely,Sales,6,4,Medical,125,2,Male,3,Sales Executive,3,Single,5010,1,No,3,1,0,0,3,11,5,776,
Lindsey Landry,54,No,Travel_Rarely,Research & Development,2,4,Technical Degree,126,1,Female,3,Research Director,3,Married,13549,9,No,3,1,1,5,1,4,0,374,
Rachel Armstrong,24,No,Travel_Rarely,Sales,3,2,Other,128,1,Female,3,Sales Executive,3,Married,4999,0,No,4,1,1,2,2,3,0,1527,
James Jones,28,No,Non-Travel,Sales,4,3,Medical,129,2,Male,3,Sales Executive,3,Married,4221,1,No,3,2,0,3,4,5,0,1204,
John Crawford,58,Yes,Travel_Rarely,Sales,10,4,Medical,131,4,Male,3,Sales Executive,3,Single,13872,0,No,3,3,0,1,2,37,1,981,2021-08-03
Charles Torres,44,No,Non-Travel,Research & Development,23,3,Medical,132,2,Male,3,Laboratory Technician,2,Married,2042,4,No,3,3,1,3,4,3,1,1334,
William Scott,37,Yes,Travel_Rarely,Human Resources,6,4,Human Resources,133,3,Male,3,Human Resources,1,Divorced,2073,4,Yes,4,4,0,3,3,3,0,1550,2023-02-03
Antonio Hernandez,32,No,Travel_Rarely,Research & Development,1,1,Life Sciences,134,4,Male,3,Research Scientist,1,Single,2956,1,No,3,4,0,2,3,1,0,429,
Regina Wilson,20,Yes,Travel_Frequently,Research & Development,6,3,Life Sciences,137,4,Female,2,Laboratory Technician,4,Single,2926,1,Yes,3,2,0,5,3,1,1,1520,2021-12-24
Katherine Mclean,34,No,Travel_Rarely,Research & Development,6,4,Other,138,1,Female,3,Research Scientist,3,Single,4809,1,No,3,3,0,3,3,16,2,569,
Ian Jackson,37,No,Non-Travel,Research & Development,2,2,Life Sciences,139,3,Male,2,Healthcare Representative,4,Divorced,5163,5,No,3,4,1,2,4,1,0,2031,
Carol Rowland,59,No,Non-Travel,Human Resources,2,4,Human Resources,140,3,Female,2,Manager,4,Married,18844,9,No,4,4,1,3,3,3,2,140,
Lori Pugh,50,No,Travel_Frequently,Research & Development,1,3,Life Sciences,141,1,Female,3,Research Director,2,Married,18172,3,Yes,3,1,0,1,2,8,0,429,
Daniel Vang,25,Yes,Travel_Rarely,Sales,5,3,Marketing,142,3,Male,2,Sales Executive,3,Single,5744,1,Yes,3,4,0,1,3,6,0,158,2023-03-18
Brian Reed,25,No,Travel_Rarely,Research & Development,7,1,Medical,143,4,Male,2,Research Scientist,4,Married,2889,1,No,3,3,2,2,3,2,2,1900,
Traci Baker,22,No,Travel_Rarely,Research & Development,15,3,Medical,144,2,Female,3,Laboratory Technician,4,Single,2871,1,No,3,3,0,5,3,0,0,569,
Gabriela Reed,51,No,Travel_Frequently,Research & Development,1,4,Medical,145,1,Female,2,Healthcare Representative,1,Single,7484,3,No,4,3,0,1,2,13,12,809,
Trevor Holmes,34,Yes,Travel_Frequently,Research & Development,7,3,Life Sciences,147,1,Male,1,Laboratory Technician,3,Single,6074,1,Yes,4,4,0,3,3,9,0,531,2023-09-18
Lisa Salas,54,No,Non-Travel,Human Resources,26,3,Human Resources,148,4,Female,4,Manager,4,Single,17328,2,Yes,3,3,0,3,3,5,4,148,
Gary Christensen,24,No,Travel_Rarely,Research & Development,18,1,Life Sciences,150,2,Male,3,Laboratory Technician,3,Married,2774,0,No,3,3,1,2,3,5,1,428,
Sandra Richard,34,No,Travel_Rarely,Research & Development,6,4,Life Sciences,151,3,Female,2,Research Scientist,2,Divorced,4505,6,No,3,3,1,3,3,1,0,1288,
Anthony Gray,37,No,Travel_Rarely,Sales,3,3,Life Sciences,152,3,Male,3,Sales Executive,4,Single,7428,2,No,3,1,0,3,3,5,1,1038,
Jessica Thomas,34,No,Travel_Rarely,Research & Development,5,3,Medical,153,3,Female,2,Manager,1,Single,11631,2,No,3,4,0,6,3,11,5,428,
Allison Carson,36,No,Travel_Frequently,Sales,11,2,Technical Degree,154,2,Female,3,Sales Executive,4,Married,9738,0,No,3,3,1,6,3,9,2,1591,
Brittany Washington,36,No,Travel_Rarely,Research & Development,3,2,Life Sciences,155,1,Female,3,Laboratory Technician,4,Divorced,2835,5,No,4,1,1,2,3,1,0,809,
Charles Cooper,43,No,Travel_Frequently,Sales,26,2,Life Sciences,158,3,Male,3,Manager,4,Married,16959,1,Yes,3,4,2,3,4,25,4,1527,
Anthony Allen,30,No,Travel_Frequently,Research & Development,23,3,Life Sciences,159,1,Male,1,Research Scientist,3,Divorced,2613,1,No,4,3,3,2,2,10,0,336,
Brian Sparks,33,No,Non-Travel,Sales,22,2,Marketing,160,3,Male,3,Sales Executive,2,Married,6146,0,No,3,1,1,2,4,7,0,851,
Rebecca Robertson,56,Yes,Travel_Rarely,Research & Development,14,4,Life Sciences,161,2,Female,3,Research Scientist,2,Married,4963,9,Yes,3,1,3,2,3,5,4,319,2023-02-14
Patrick Williams,51,No,Travel_Rarely,Research & Development,6,3,Life Sciences,162,1,Male,3,Research Director,3,Single,19537,7,No,3,3,0,5,3,20,15,444,
Robert Smith,31,Yes,Travel_Rarely,Sales,6,4,Life Sciences,163,2,Male,1,Sales Executive,3,Married,6172,4,Yes,3,2,0,3,2,7,7,1824,2023-11-25
Brittney Wilcox,26,No,Travel_Rarely,Research & Development,6,3,Other,164,3,Female,2,Research Scientist,2,Married,2368,1,No,3,3,0,3,2,5,4,1215,
Amber Lawrence,58,Yes,Travel_Rarely,Research & Development,23,4,Medical,165,4,Female,3,Healthcare Representative,4,Married,10312,1,No,3,4,1,3,2,40,15,505,2021-12-02
Alec Brown,19,Yes,Travel_Rarely,Sales,22,1,Marketing,167,4,Male,3,Sales Representative,3,Single,1675,1,Yes,3,4,0,2,2,0,0,1280,2022-06-04
Corey Young,22,No,Travel_Rarely,Research & Development,2,1,Technical Degree,169,3,Male,3,Laboratory Technician,4,Married,2523,0,No,3,3,1,2,3,2,2,1306,
Tammy Perez,49,No,Travel_Rarely,Research & Development,20,4,Medical,170,3,Female,3,Manufacturing Director,1,Married,6567,1,No,3,3,0,2,2,15,5,809,
Debra Townsend,43,No,Travel_Frequently,Research & Development,28,3,Medical,171,2,Female,4,Research Scientist,3,Single,4739,4,No,3,4,0,2,3,3,1,671,
Jennifer Cobb,50,No,Travel_Frequently,Sales,12,3,Marketing,174,3,Female,3,Sales Executive,4,Single,9208,4,No,3,4,0,3,3,2,2,625,
Tanya Oneal,31,Yes,Travel_Rarely,Sales,20,3,Life Sciences,175,2,Female,1,Sales Executive,3,Married,4559,3,Yes,3,3,1,2,3,2,2,410,2021-04-05
Mitchell Smith,41,No,Travel_Rarely,Sales,9,1,Life Sciences,176,3,Male,3,Sales Executive,3,Divorced,8189,3,Yes,3,3,1,2,3,9,0,1602,
Natalie Alvarez,26,No,Travel_Rarely,Human Resources,25,1,Life Sciences,177,3,Female,3,Human Resources,3,Married,2942,1,No,4,4,1,3,3,8,5,1408,
Jared Caldwell,36,No,Travel_Rarely,Research & Development,6,2,Medical,178,2,Male,3,Manufacturing Director,2,Divorced,4941,6,No,4,4,2,0,3,3,0,253,
Alex Hughes,51,Yes,Travel_Frequently,Research & Development,8,4,Life Sciences,179,1,Male,1,Manufacturing Director,4,Single,10650,2,No,3,4,0,2,3,4,0,1786,2021-04-28
Brenda Watkins,39,No,Travel_Rarely,Sales,4,4,Life Sciences,182,4,Female,2,Sales Executive,3,Married,5902,4,No,3,3,1,1,4,15,5,298,
William Washington,25,No,Travel_Rarely,Sales,28,3,Life Sciences,183,1,Male,2,Sales Executive,3,Married,8639,2,No,3,4,0,3,3,2,2,363,
Daniel Chapman,30,No,Travel_Rarely,Human Resources,9,3,Human Resources,184,3,Male,3,Human Resources,4,Married,6347,0,Yes,3,4,0,2,1,11,4,644,
Alison Dunn,32,Yes,Travel_Rarely,Research & Development,9,3,Medical,190,1,Female,3,Laboratory Technician,1,Single,4200,7,No,4,1,0,2,4,5,0,1334,2023-09-12
Michael Smith,45,No,Travel_Rarely,Research & Development,29,3,Medical,192,3,Male,3,Research Scientist,4,Single,3452,5,No,3,2,0,2,2,6,0,374,
Tina Rodriguez,38,No,Travel_Rarely,Research & Development,3,5,Technical Degree,193,4,Female,3,Research Scientist,3,Single,4317,3,Yes,4,2,0,2,3,3,2,1892,
Kylie Hammond,30,No,Travel_Rarely,Research & Development,18,3,Life Sciences,194,1,Female,3,Research Scientist,3,Single,2632,1,No,3,3,0,4,2,5,0,1520,
Jason Roberts,32,No,Travel_Frequently,Sales,9,2,Medical,195,4,Male,1,Sales Executive,4,Divorced,4668,0,No,3,4,3,2,4,8,0,1280,
Kelly Adams,30,No,Travel_Rarely,Research & Development,5,3,Technical Degree,197,4,Female,3,Research Scientist,1,Divorced,3204,5,No,3,4,1,3,3,3,2,1307,
Scott Taylor,30,No,Travel_Rarely,Research & Development,2,1,Medical,198,2,Male,2,Laboratory Technician,4,Single,2720,0,No,3,4,0,3,3,5,1,226,
Nicholas Dudley,41,No,Travel_Frequently,Research & Development,10,3,Life Sciences,199,4,Male,2,Manager,1,Divorced,17181,4,No,3,2,1,2,2,7,7,787,
Jesus Warren,41,No,Travel_Rarely,Research & Development,9,4,Life Sciences,200,3,Male,3,Laboratory Technician,1,Married,2238,2,No,4,4,1,2,3,5,1,787,
Julie Nichols,19,No,Travel_Rarely,Research & Development,3,1,Medical,201,2,Female,3,Laboratory Technician,2,Single,1483,1,No,3,4,0,3,3,1,0,1307,
Tammy Olson,40,No,Travel_Frequently,Research & Development,26,3,Medical,202,2,Female,3,Research Scientist,2,Divorced,5605,1,No,3,1,1,2,3,20,2,1074,
Kristopher Harris,35,No,Travel_Rarely,Sales,1,5,Marketing,204,3,Male,3,Sales Executive,2,Married,7295,1,No,3,1,2,3,3,10,0,1676,
Anthony Turner,53,No,Travel_Rarely,Sales,6,2,Marketing,205,2,Male,3,Sales Representative,3,Married,2306,2,Yes,4,4,1,3,1,7,4,851,
Jerome Mitchell,45,No,Travel_Rarely,Research & Development,9,3,Life Sciences,206,2,Male,3,Laboratory Technician,2,Divorced,2348,8,No,3,3,1,2,1,17,0,1256,
Carol Franklin,32,No,Travel_Frequently,Sales,8,3,Marketing,207,2,Female,3,Sales Executive,4,Single,8998,1,No,3,4,0,2,3,9,3,23,
Michael Powell,29,No,Non-Travel,Research & Development,1,1,Technical Degree,208,4,Male,3,Manufacturing Director,3,Married,4319,1,No,3,1,1,1,3,10,0,1520,
William Williams,51,No,Travel_Rarely,Research & Development,7,4,Medical,211,2,Male,2,Manufacturing Director,3,Married,6132,2,No,3,3,0,2,3,1,0,1665,
Cynthia Green,58,No,Travel_Rarely,Research & Development,9,3,Medical,214,2,Female,2,Research Scientist,2,Married,3346,4,Yes,4,2,1,3,2,1,0,264,
Brian Salazar,40,No,Travel_Rarely,Sales,4,4,Marketing,215,3,Male,2,Sales Executive,4,Married,10855,7,No,3,1,1,2,2,12,2,1740,
Monique Sherman,34,No,Travel_Frequently,Sales,2,4,Marketing,216,3,Female,3,Sales Representative,3,Married,2231,6,No,3,4,1,3,3,4,1,981,
Richard Collins,22,Yes,Travel_Rarely,Research & Development,19,1,Medical,217,3,Male,3,Research Scientist,4,Married,2323,1,No,4,1,2,6,3,2,2,1866,2023-05-19
Kevin Jennings,27,No,Non-Travel,Research & Development,9,3,Medical,218,4,Male,3,Research Scientist,2,Divorced,2024,6,No,3,4,1,1,1,2,2,1336,
